,drug_1,drug_2,cell,label
0,123631,16886,ACH-000681,0
1,5394,41744,ACH-000811,0
2,2478,40926,ACH-000148,0
3,11626560,3657,ACH-000706,0
4,4212,439525,ACH-000681,1
5,2567,54608520,ACH-000969,0
6,3385,5360373,ACH-000750,0
7,5799,241902,ACH-000681,1
8,439525,241902,ACH-000288,0
9,216326,3367,ACH-000428,0
10,3950,5388992,ACH-000090,0
11,123631,241902,ACH-000504,0
12,5352062,5329102,ACH-000367,0
13,3062316,11977753,ACH-000573,1
14,132971,5329102,ACH-002172,1
15,2662,2907,ACH-000696,0
16,132971,2141,ACH-000969,0
17,439525,68740,ACH-000463,0
18,2567,644241,ACH-001127,0
19,5394,237,ACH-000579,0
20,439525,5311,ACH-000367,1
21,3950,3367,ACH-002172,0
22,3085106,241902,ACH-000730,0
23,3385,24856436,ACH-000425,1
24,444795,40926,ACH-000997,0
25,3657,237,ACH-000148,0
26,123631,41744,ACH-000046,0
27,2567,46239015,ACH-000573,1
28,11626560,148121,ACH-001198,0
29,11520894,46926350,ACH-000788,1
30,176870,3062316,ACH-000788,1
31,3950,54608520,ACH-000463,0
32,11626560,457193,ACH-000969,1
33,5394,216239,ACH-000219,1
34,3081361,5311,ACH-001081,0
35,6450551,3902,ACH-000969,0
36,5311,11520894,ACH-000810,1
37,13342,5329102,ACH-000219,1
38,6194,444795,ACH-000343,0
39,3385,2123,ACH-000555,0
40,3081361,5311,ACH-000900,0
41,2123,32874,ACH-000817,0
42,216326,5360373,ACH-001081,1
43,5388992,208908,ACH-000681,1
44,3085106,148121,ACH-000552,0
45,5311497,5311,ACH-000311,1
46,5453,387447,ACH-000343,0
47,3385,5426,ACH-001190,0
48,5453,36314,ACH-000463,1
49,446378,6917864,ACH-000424,1
50,3385,36314,ACH-000428,0
51,163659,40926,ACH-001198,0
52,3385,2662,ACH-001039,0
53,439525,4842,ACH-000579,0
54,9854073,4842,ACH-000477,0
55,439525,208908,ACH-000090,0
56,1546,387447,ACH-001039,0
57,60198,68740,ACH-000811,0
58,3367,163659,ACH-000617,0
59,123631,60198,ACH-000706,1
60,216326,40926,ACH-000617,0
61,216326,2662,ACH-001198,0
62,3081361,2187,ACH-000655,1
63,5394,9826528,ACH-000291,0
64,11683,3657,ACH-000706,0
65,11626560,1546,ACH-000555,0
66,5352062,2478,ACH-000750,0
67,176870,387447,ACH-000028,0
68,457193,32874,ACH-000969,0
69,2478,237,ACH-000730,0
70,3085106,2723601,ACH-000979,0
71,5035,3081361,ACH-001127,1
72,5311,54608520,ACH-000046,0
73,439525,148121,ACH-000615,0
74,5352062,68740,ACH-000706,0
75,2907,387447,ACH-000979,0
76,9854073,123631,ACH-000969,1
