,drug_1,drug_2,cell,label
0,4091,5394,ACH-000219,0
1,54600319,4211,ACH-001198,0
2,9854073,60198,ACH-000655,0
3,36314,216239,ACH-001208,1
4,5329102,3062316,ACH-000906,1
5,163659,2187,ACH-000768,0
6,3085106,5394,ACH-000768,0
7,36314,4842,ACH-002199,0
8,60198,439525,ACH-000979,1
9,5394,216239,ACH-000849,0
10,104842,41744,ACH-000617,0
11,126941,46239015,ACH-002179,0
12,15953832,208908,ACH-000811,1
13,5799,216239,ACH-000997,0
14,59691338,216453,ACH-000097,0
15,11683,11626560,ACH-000433,0
16,6194,54600319,ACH-000861,0
17,41744,5352062,ACH-000681,1
18,60198,4114,ACH-000019,1
19,73265272,66414,ACH-000424,0
20,216453,11977753,ACH-000665,1
21,216453,3062316,ACH-000291,1
22,5388992,163659,ACH-000730,0
23,439525,2123,ACH-002172,0
24,5035,2708,ACH-000651,1
25,3385,163659,ACH-000090,1
26,457193,216239,ACH-002199,0
27,439525,163659,ACH-000019,1
28,68740,387447,ACH-000900,0
29,41744,1805,ACH-000615,1
30,2708,400633,ACH-000615,0
31,11626560,5035,ACH-000463,1
32,6450551,163659,ACH-000971,0
33,24748204,216239,ACH-000463,1
34,5388992,23615975,ACH-000090,0
35,123631,667490,ACH-000655,0
36,667490,3685,ACH-000849,0
37,36314,11977753,ACH-000657,1
38,3081361,667490,ACH-000433,0
39,457193,1546,ACH-000273,0
40,3081361,5394,ACH-000696,0
41,3085106,444795,ACH-001127,0
42,41744,667490,ACH-001039,0
43,3950,6194,ACH-001198,1
44,5799,23615975,ACH-000696,0
45,123631,68740,ACH-000504,0
46,59691338,24856436,ACH-000219,0
47,5360373,241902,ACH-000477,0
48,208908,104741,ACH-000655,0
49,4091,24856436,ACH-000552,1
50,3385,36314,ACH-000288,0
51,60198,444795,ACH-000555,1
52,208908,3657,ACH-000046,0
53,452548,5329102,ACH-000273,0
54,2708,444795,ACH-000090,0
55,3950,2141,ACH-000555,0
56,11683,23615975,ACH-000552,0
57,457193,32874,ACH-002172,1
58,126941,387447,ACH-000343,0
59,32874,71384,ACH-000273,1
60,3657,237,ACH-000966,0
61,4211,2478,ACH-000817,0
62,13342,5394,ACH-000395,0
63,2708,241902,ACH-000425,0
64,54608520,387447,ACH-002172,0
65,3085106,3950,ACH-000551,0
66,104842,126941,ACH-000477,0
67,123631,126941,ACH-000148,1
68,42611257,216239,ACH-000504,0
69,60198,208908,ACH-000681,1
70,68740,667490,ACH-001151,0
71,2723601,667490,ACH-001127,0
72,6194,3690,ACH-000343,0
73,1805,208908,ACH-000617,0
74,354624,32874,ACH-002199,0
75,248862,36314,ACH-000971,0
76,3657,40926,ACH-001738,0
77,354624,2478,ACH-002199,0
78,9826528,3062316,ACH-000757,1
79,5746,387447,ACH-000655,0
80,5311497,208908,ACH-000463,1
81,123631,208908,ACH-000463,0
82,5360373,241902,ACH-000376,1
83,126941,4114,ACH-000825,0
84,6194,32874,ACH-000504,1
85,439525,104741,ACH-000273,0
86,54600319,241902,ACH-001127,1
87,2123,5291,ACH-000090,1
88,444795,54600319,ACH-000817,1
89,40926,387447,ACH-000288,0
90,3081361,2123,ACH-000428,0
91,439525,68740,ACH-002159,0
92,5291,5799,ACH-000019,0
93,163659,4842,ACH-000825,0
94,71384,3950,ACH-001127,0
95,3085106,208908,ACH-000428,0
96,6194,216239,ACH-000655,0
97,457193,32874,ACH-000849,0
98,5394,68740,ACH-001208,0
99,41744,54600319,ACH-000861,1
100,3081361,5360373,ACH-000273,0
101,3385,216239,ACH-000810,1
102,3367,5394,ACH-000504,1
103,5746,57469,ACH-000428,0
104,5329102,9826528,ACH-000943,1
105,3385,444795,ACH-000579,0
106,5291,237,ACH-000750,0
107,2708,3657,ACH-000579,0
108,5394,104842,ACH-000657,0
109,452548,387447,ACH-000750,0
110,123631,400633,ACH-000979,1
111,9854073,32874,ACH-001081,0
112,9854073,2478,ACH-002195,0
113,24958200,46239015,ACH-000757,0
114,11626560,123631,ACH-002159,1
